id,price_clean,high_price,split,property_type,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,bathrooms,distance_cbd_km,amenity_count,has_pool,has_free_parking,has_air_conditioning,has_kitchen,has_washer,has_dryer
1195457288370303386,188.0,0,test,Entire rental unit,Stonnington,-37.87893,145.04919,4,1.0,2.0,1.0,10.483953412842611,39,0,1,0,1,1,1
1195502466557330953,185.0,0,train,Entire home,Monash,-37.8682875,145.1382845,4,2.0,2.0,1.0,16.54169100969943,51,0,1,1,1,1,1
1195890577668325638,466.0,1,train,Entire home,Monash,-37.87636,145.18658,11,5.0,7.0,1.5,20.827246228711893,53,0,1,1,1,1,1
1196032158759744727,1374.5,1,test,Entire home,Cardinia,-38.08989,145.73778,15,7.0,8.0,3.0,74.54873656464774,61,0,1,1,1,1,1
1196113514254630746,165.99,0,train,Entire rental unit,Glen Eira,-37.92178,145.05619,4,2.0,2.0,2.0,14.542090831834905,11,0,1,1,1,1,0
1196542387550164429,173.0,0,train,Entire guesthouse,Yarra Ranges,-37.78524,145.61601,2,1.0,1.0,1.0,57.45249705110577,36,1,1,0,1,0,0
1196666813731791559,178.0,0,train,Entire rental unit,Brimbank,-37.79201,144.83373,2,,1.0,1.0,11.616955125188378,48,0,0,1,1,1,1
1196701315434086341,167.0,0,train,Entire rental unit,Brimbank,-37.79148,144.83313,2,,1.0,1.0,11.680844558176863,50,0,0,1,1,1,1
1196706764119150003,192.34,0,train,Entire rental unit,Brimbank,-37.78985,144.83369,2,1.0,1.0,1.0,11.672541369072691,50,0,0,1,1,1,1
1196710360703625497,207.14,0,train,Entire rental unit,Brimbank,-37.79166,144.83218,2,1.0,1.0,1.0,11.758268924088917,50,0,0,1,1,1,1
1196714260858726736,289.0,0,train,Entire rental unit,Brimbank,-37.7905,144.83239,4,2.0,2.0,2.0,11.767788590041697,50,0,0,1,1,1,1
1196717957486590738,231.0,0,train,Entire rental unit,Brimbank,-37.79,144.83214,4,2.0,2.0,2.0,11.801500819195715,51,0,0,1,1,1,1
1196720940481443664,322.63,0,train,Entire rental unit,Brimbank,-37.79132,144.83221,4,2.0,2.0,2.0,11.763620375787024,48,0,0,1,1,1,1
